name,website,email,phone,address,notes
TechTap Lighting PL,,,+263715631749,No: 117-119 Rotten Row opposite Harare City Library back of Netone building,
House of Q-Tiles & IBR Roofing Materials,houseofqtilesandibr.com,Spencermuvadi@gmail.com,+263 78 350 4335,"Number 16 Lytton road and paisley Road workington Industrial Area , Harare, Zimbabwe",House of Qtiles and IBR roofing material specialises in morden and affordable roofing materials
Metro Marketplace,,,+263 783539845,,E-commerce
Come Clean Hub,,,+263 77 999 8485,,"All men deserve to look confident, and it’s in what they wear"
Bestech inc,,,+263 782828408,,E-commerce website
The Hardware Store,,,+263 77 528 7027,"Number 106 Fife Avenue, Harare , Harare, Zimbabwe",Hardware shop
GOPT stoves,goptstove.co.zw,info@goptstove.co.zw,+263 77 376 8103,"2747 Princess Margaret road , Harare, Zimbabwe",We sell Gopt solar stoves . They work with solar systems. This means you get to cook with free rene
Sneakerz_plug_zw,,,+263 78 476 1543,"Robert Mugabe and ANGWA KOEFMANS BUILDING UPSTAIRS, Harare, Zimbabwe","Your Exclusive sneakers store, For your high quality kicks, Exclusive Clothing & Sneakers"
Green Vision Trust,greenvisiontrust.business.site,greenvisiontrust16@gmail.com,+263 73 258 1307,"Corner 1st & Kwame Nkrumah, Chiyedza House Mezzanine Floor Office Number 2;Harare , Harare, Zimbabwe","Green Vision Trust serves and provides antipoaching services & Intelligence,environmental education"
Party Karate,partykarate.com,,+263 77 803 0912,"50 Sixth Street/cnr Selous Ave , Harare, Zimbabwe",Party Karate is an events company and One Stop Party based in Harare Zimbabwe that will set the mood
Home Us,homeuszim.com,sales@homeuszim.com,+263 77 220 8302,"228 Samora Machel, Harare, Zimbabwe",We are the best suppliers of ultimate home finishes.We provide diverse and quality home interior.
The GadgetsZone Zimbabwe,gadgetszone.co.zw,gadgetszonezw@gmail.com,+263 77 530 4378,Shop G4 -G6 117-119 Rotten Row / Cnr Rotten Row and Jason Moyo,"New and used Laptops,desktops,Mordems and Accessories at affordable prices in harare."
Peak Design Studios,,osdirwai33@gmail.com,077 436 2528,"Jason Moyo, Harare, Zimbabwe","Building plans, town planning, bills of quantities, construction"
Zimnat,zimnat.co.zw,customercare@zimnat.co.zw,+263 24 2701179,"86 Nelson Mandela Avenue, Harare, Zimbabwe","The Official Facebook Page for Zimnat. A Zimbabwean Insurance brand that aims to ""Make your life bett"
Gail Collections,,gailcollections@gmail.com,078 044 3333,"8 Patula Lane Borrowdale , Harare, Zimbabwe","All Things Bedding: Duvets & Covers, Sheets, Pillows & Pillowcases, Bedspreads, Mats, Mattress Prote"
Glossy Moon Beauty Parlor,,glossymoonbeautyparlor@gmail.com,+263 78 577 1055 / 0786260513,"6 McChlery Avenue,Barista House ,Eastlea, Harare, Zimbabwe","Glossy Moon Beauty Parlor is a saloon that specializes in haircare , ,nails ,makeup and massages"
Frost Technologies,,,0778388359/0783539845,"Nelson Mandela, Harare, Zimbabwe",ecommerce
TowerFleets Technologies -Private Limited,TowerfleetTechnologies.co.zw,info@TowerFleettechnologies.co.zw,+263 71 532 6697,"Harare, Zimbabwe",Vehicle Tracking and Home Security Systems
Sambiri Home Decor,,jmatsitsiro@gmail.com,077 344 1178,,"We do soft furnishings, cushions curtains and we also fit door caps"
Mukuru,mukuru.com/zw,support@mukuru.com,08677 009604,,"For fast, affordable, & reliable money transfers across Africa, Europe and Asia, trust Mukuru.??"
Philink Brincks & Sand Supplies,,philgorejena@gmail.com,077 261 1974,,We supply all your building aggregates.
Sibbz Dynasty PVTltd,sibbzsynasty.com,sibbzdynasty@gmail.com,071 573 6869,,Business Solutions
Ceiling Decor for ceiling designs,,normanmulambo5@gmail.com,078 334 1023,,All flat and suspended ceilings
Zim NGO Jobs,zimngojobs.co.zw,info@zimngojobs.co.zw,,,Helping you find current jobs in Non-Government Organisations in Zimbabwe.
Village on the Chase,cjaccounting.co.zw,platinum.property@yahoo.in,,"78 The Chase, Mount Pleasant, Harare, Zimbabwe",Business Centre and mini shopping mall located along The Chase!
Gunhill Medical Village,gunhillmedicalvillage.co.zw,frontdesk@gunhillmedicalvillage.co.zw,078 797 6891,"145 Borrowdale Road Gunhill, Harare, Zimbabwe",Multi-Specialty Clinic
GR interior design and decorations,,grinteriordesignsanddecor@gmail.com,077 229 4446,"Room 17,First floor Gainsborough court, corner leopold Takawira and Chinamano Avenue, Harare, Zimbabwe","we are into interior designs and deco, we specialise in curtain rods, curtains, throwovers , sheets a"
Tak medical supplies,,sales@takmed.co.zw,071 386 1532,"Julius Nyerere and Samora Machel , Harare, Zimbabwe",Your health is more important to us. stay safe
Hearing Aids Africa,hearingaidsafrica.com,,077 333 5118,"39 Queen Elizabeth Road , Greendale, Harare, Zimbabwe",Our aim is to deliver the best and most affordable hearing healthcare service in Southern Africa.
International Power Company,internationalpowercompany.co,internationalpowercompany@gmail.com,077 727 2757,"Suite 315 , 3rd FloorCorner Nelson Mandela & Angwa Street, Harare, Zimbabwe","A renewable energy & environmental consulting company • Manned by a young, energetic team"
Sunshine Financial Services,,,077 243 0958,"Harare, Zimbabwe","We offer small to medium loans against collateral , Call us today for a swift service!"
Impact Change Africa Foundation,,impactchangeafrica1976@gmail.com,078 150 0795,,"Working with communities, creating lasting solutions to address pressing challenges, affecting Afric"
Yzia Smart Tech Suppliers,yziaholdings.com,info@yziaholdings.com,078 556 6143,"Harare, Zimbabwe","We supply smart devices that convert your home or office into a modern, connected and interactive pr"
SwooshLyf Towing & Recovery,,carltonteemugadzaweta@gmail.com,077 834 4179,,Welcome to 24hr Breakdown & Recovery Service.A local company operating all over.We offer cheap Relia
IGS Purified Water,,sales@infoseedgreysolutions.co.zw,078 657 9808,"412 Nicoz Diamond House, 30 Samora Machel Avenue, Harare, Zimbabwe",Premium custom branded purified bottled water.
NexPand Blasting Zimbabwe,nexpandzimbabwe.co.zw,faraimakavanga@gmail.com,077 850 7136,,Non explosive rock breaking chemical.
Arizai_zw,,contityres178@gmail.com,077 447 2743,"184 Samora Machel Road, Harare, Zimbabwe","Suppliers of Full range of Tyres, in partnership with Royal Black and Continental"
Aesthetic Laser Center,,admin@aestheticlaser.co,077 381 7607,"191 Baines Ave, Corner 10th, Harare, Zimbabwe",Unveil Beauty and Charm: Elevate Your Beauty with Our Expert Body Trimming Procedures and Premium Skincare Solutions
Talentic Consultancy,talenticconsultancy.co.zw,info@talenticconsultancy.co.zw,071 329 7113,"Corner Jason Moyo and Angwa Pockets building Suite 307, Harare, Harare, Zimbabwe",Consulting agency
iPhone Bay,,,078 002 1223,,Phone/Tablet
Corporate 24 Pharmacy,corp24med.com,info@corp24med.com,(024) 2700372,,"Corporate 24 hospital offer 24/7 round the clock healthcare solutions,exceptional service guaranteed."
The Delivery Company,,,078 589 8442,"Innez terrace and South Avenue, Harare, Zimbabwe",Bike delivery services around Harare
Virgin hair den,,,077 328 8822,"NUMBER 49 CORK ROAD AVONDALE ??Westgate mall corner Lorraine drive and lomagundi opposite picknpay shop next to Telecel. ??Corner Mandela and Ruzende Upper room ministries mall shop number 29,first entrance from juvana Huawei entrance , Harare, Zimbabwe",Virgin hair den
Getthis4ME,getthis4me.com,info@getthis4me.com,077 835 2061,"St Andrews Road, Hatfield, Harare, Zimbabwe",Shop the UK whilst in Zimbabwe. Getthis4me provides personalised online shopping for UK brands and products. Delivered in 14 day. Pay in USD$ #Getthis4me.
Emerge Marketing ,brentech.co.zw,info@brentech.co.zw,071 492 9526,"14182 Gunhill Ave, Gunhill, Borrowdale, Harare, Zimbabwe","Digital Marketing, Radio Adverts, Billboards, Marketing Material and Sales Strategy."
Mcnel Freight Zimbabwe,mcnelfreight.com,logistics@mcnelfreight.com,077 777 2275,"17405 Flanagan Road Hillside, Harare, Zimbabwe","Freight Forwarding, logistics and customs clearing"
Grassmann,grassmann.co.zw,info@grassmann.co.zw,073 452 3630,"53 Samora Machel ave Karingamombe Centre 10th floor East Wing, Harare, Zimbabwe",Landscaping and Outdoor Services-Softscape-Hardscape-Design and Installation-Yard Maintenance
Tapmub Consultancy,tapmubconsultancy.co.zw,admin@tapmubconsultancy.co.zw,077 609 2971,,We are a team of financial professionals dedicated to providing professional and affordable services
Lescan Business Experts,lescan.co.zw,info@lescan.co.zw,8644283893,"NO 4 Aintree Circle, Belvedere, Harare, Zimbabwe",We are professional business experts
E- Tech Motorsports,,,078 214 4887,"Shop 55 GT Bain Centre , 55 King George Rd , Harare, Zimbabwe",Products and Services
Vertico Solutions,vertico.co.zw,info@vertico.co.zw,078 417 1989,"42 Midlothian Avenue, Eastlea, Harare, Zimbabwe","Affordable Domain Registration, Website Development, Web / Email Hosting & Digital Marketing."
Techno Pitch Solutions,,,078 302 3081,"Cnr George Silundika and Innez Terrace, Harare, Zimbabwe","Desktop computers, Laptops and Computer Accessories: Sales, Service and Repair"
ODEL ELectricals,odelelectricals.co.zw,odelelectricals@gmail.com,078 983 9221,,An Electrical Services and Installation Company Offering quality services in Solar Installations etc
True Ultimate Painting,trueultimatepainting.co.zw,tawanda@trueultimatepainting.co.zw,077 562 0089,"17 Philips Avenue Belgravia , Harare, Zimbabwe","Fix and Supply is our specialty, from as little as usd35 you can get any standard sized room painted"
Amcotts,amcotts.com,brett@amcotts.com,077 247 1296,"118 Simon Mazorodze, Harare, Zimbabwe","Trucks, Tyres and Parts"
Megatronics Technology,,,077 521 2542,"Harare, Zimbabwe","Electronics and Electrical Engineering Sales, Projects, Repairing Services. Quality beyond your i"
Kariba Bream,,,077 679 6898,,We sell only the freshest kariba bream in all sizes.Free delivery in CBD.Mon-Sun.
International Coatings Company,intercoat.co.zw,sales@intercoatco.com,08677 004867,"Corner Harare Drive and Alpes Road, Vainona, Harare, Zimbabwe","We supply decorative as well as specialised industrial wood and metal finish coatings to the retail,"
Steady State Solutions PVT LTD,steadystate.solutions,admin@steadystate.solutions,078 182 8559,,Steady State is an Information Technology Solutions and Service Provider with a very clear goal to be
Ekhaya Estates & Addresses,visitekhaya.com,,,,"Curated to inspire, transform, and deliver excellence -- Where your journey back home begins"
Elpro Hygienics,,sales@elprohygienics.co.zw,077 110 3633,"47 Fife Ave , 1 BLANDFORD court , Cnr L takawira and fife ave",Cleaning Products & Services
Aquaclear Zimbabwe,,customercare@varunzim.com,,"1824 Simon Mazorodze Road, Harare, Zimbabwe",Welcome to the Offical page of Aquaclear Zimbabwe from the makers of Pepsi.Enjoy purity you can trust
Memorablegifts,memorablegifts.co.zw,admin@memorableawards.co.zw,077 330 0094,"We are in town by cnr julis nyerere and samora machel. ELECTRA HOUSE. Same building that houses first pack. 1st floor. Room 1, Harare, Zimbabwe",ENGRAVING | GLASS AWARDS | GIFTS | MEDALS | SHIELDS | TROPHIES
Value Forward Agro Solutions,valueforward.co.zw,,077 327 3538,"9 Bernstaple Ave, Mt Pleasant.","Greenhouse Construction, Fittings, Repairs, Maintenance & Gutter installation, repairs and new installations."
Halsted Builders Express,halsteds.co.zw,halsteds@halsteds.co.zw,(024) 2447777,,Halsted Builders Express offers a wide range of quality products to meet all of your building needs.
Tengai Solutions,tengai.shop / tengai.africa,,077 455 4354,,Marketing / Page · Product/Service
Tielemans Private Limited,tielemans.co.zw,info@tielemans.co.zw,071 717 8442,,Entire 2021 Package for new & Existing Business Entities under one roof. / Company Registration. / Tax C
E GASES & SOLAR Technical services ,,techegasessolar@gmail.com,077 301 2171,,"Est in 2014 with well trained Engineers. We provide technical services on Lp Gas and Solar appliances. With over 8 years of experience dealing with complex Lpg & Solar challenges, we pride ourselves that we leave no stone unturned."
Aziva_creations,,,077 678 8819,"Harare, Zimbabwe","Be different! Aziva makes beautiful & customised boards, clocks & Furniture for unique you. Be you!"
Plan My Wedding,leopardrockhotel.com/facilities/weddings,chelsea@planmywedding.com,077 885 2641,"18 Glenelg, Borrowdale,, Harare, Zimbabwe","Leopard Rock is without doubt one of the most attractive venues for a wedding in Zimbabwe including the ceremony and reception. A delightful chapel, situated close to the 18th tee box on the golf course as well as the many options of halls and venues."
Zimbabwe Academic Trust,,benadette.tuso@gmail.com,077 266 4459,"26 Quinnington Road Borrowdale, Harare, Zimbabwe",We offer a variety of courses for adults who want to learn new skills or improve their knowledge
Winning TEAMS  (Team Building Zimbabwe),noahsarkteams.co.zw,info@noahsarkteams.co.zw,077 288 4509,"Batanai Gardens , Harare, Zimbabwe","We Develop Leaders & Build Winning Teams in Corporates, Schools and Churches ."
Nkalakatha Homes,,dembetembet@gmail.com,077 293 4774,,"For exquisite home decor and soft finishings curtains, blinds bed linen, headboards, chairs cushions, deco accessories and more ...."
Africa Solar Power Technology,asptech.tech / africasolarpowertechnology.business.site,asptech.energy@gmail.com,077 446 5772,"7 Telford Road, Graniteside, Zimbabwe",Conserve energy today for a brighter tomrow. Energy saved today is an asset for future.
Africa Flea Market,,majidabdul20@yahoo.com,077 873 2750,"42 Rezende Street , Harare, Zimbabwe","Vibrant retail and cultural communities in the heart of Harare./ SHOPPERS: Browse our latest fashions, hair & beauty essentials, tech, groceries, fresh meat, and more. / ENTREPRENEURS: Looking for your ideal shop, table or office space? Call 0778732750."
skydivezim com,skydivezim.com,,077 226 0455,"Charles Prince, Harare, Zimbabwe",Zimbabwe's Premier Skydiving Experiance
Tony Logistics,,,+27 78 130 9944,,we transport goods from south Africa every Friday
Skimac,skimac.co.zw,info@skimac.co.zw,077 504 0327,"20 George rd, Hatfield, Harare, Zimbabwe","From concept to completion, our construction company takes your vision and turns it into reality."
Tech Hub Harare,cowork.co.zw,techhub@brieftechonline.com,071 892 4393,"Shop No1 Social Security Centre,, Harare, Zimbabwe","Tech Hub Harare is Non Profit Startup Support Network located in Harare, Zimbabwe. We help entrepreneurs start and grow their ventures."
Azara Car Rental,,azaracarrental@gmail.com,078 680 6286,,"We are a are rental agency primarily serving people who require a temporary vehicle, for example, those who do not own their own car, travelers who are out of town, or owners of damaged or destroyed."
On Point Security Company,,onpoint00263@gmail.com,071 829 0715,"113 Kaguvi Street , Harare, Zimbabwe","Provision of Security Services & Installation of Security Electronics.CCTV, Biometric,Access Control"
BRAAI OUT ZW,,Tambaevents@gmail.com,077 496 2970,,THE BIGGEST AFTERNOON BRAAI VIBE / #TAKANOGOCHA
CraftworX Architecture,craftworx.co.zw,craftworx90@gmail.com,(024) 2303554,"No.70 Broadlands Road Emerald Hill, Harare, Zimbabwe",the ultimate source for luxurious living... get it right the first time!!!
POSB Zimbabwe,,customersupport@posb.co.zw,073 220 0889,"15th Floor Causeway Building, Harare, Zimbabwe",POSB is the only savings bank in Zimbabwe dedicated to creating and promoting a culture of savings.
LinkSpot,linkspot.co.zw,Linkspothr@gmail.com,077 148 8456,"63 Speke Avenue, @ Summercity Mall, Harare, Zimbabwe",Coworking Stations | Meeting Rooms | Internet Cafe | Board Rooms | Interview Rooms | Rent a laptop
DR SM Chirisa,,,078 509 7854,"55 Kwame Nkrumah Avenue , Harare, Zimbabwe",Entrepreneurship.Health.Marriage.Personal Development.
Clemence Mutembo,,mutemboclemence@gmail.com,077 899 4994,"B2C Batanai Gardens,Harare, Harare, Zimbabwe",
Invaluable Women Exhal Community,theinvaluablewoman.co.zw,invaluablewomanzw@gmail.com,071 982 8288,,"The Invaluable Woman Exhale Community is a sisterhood that supports the wellness, mental health and personal development of girls and women."
BoardEx Zimbabwe,boardex.co.zw,sales@boardex.co.zw,071 942 6009,"6 Buick Close, Beverley East Msasa Harare | Beverley East Msasa | 3 Reserve Hillside Extension Road Mukuvisi Woodlands Harare | Unit C 1 CIPF Complex, Khami Road, Bulawayo , Harare, Zimbabwe",Suppliers of Melamine Boards | UV/Gloss Boards | Cabinet Hardware | PVC Wrap Doors | Wrapped Doors |
HL Studios,,,071 777 7607,,For all outdoor and indoor photoshoots
Beauty Experts Zim --- Beauty BOMB Zim,,,077 613 6703,"The Grand Selous Hotel, corner sixth and selous avenue, Harare, Zimbabwe",Your best look starts here! Let your inner beauty EXPLODE and shine through with our professional ma
Tinashe C Mudanda,tinashecmudanda.com,tinashe@tinashecmudanda.com,,,"Author, Speaker, Property Negotiator and Producer/Host of The Greatness Factor Podcast.|Mu•dha•nda|"
Bluffhil Hiring Services,bluffhillhiring.co.zw,bluffhillhiring@gmail.com,077 211 0548,Faber road Bluffhill,"We offer Tents ,chairs,tables,Decor,carpets,stages,for hire and lots more for outdoor and indoor Events"
Packground Investments,,engineeringpackground@gmail.com,077 286 4757,,"we are an engineering company solving all engineering, welding tasks and challenges providing the bes"
Premier Billiards Zimbabwe,premierbilliards.co.zw,sales@premierbilliards.co.zw,077 680 1736,"No.1 Leopold Takawira Street, Bhika Bros Warehouse Complex, Down-town CBD , Harare, Zimbabwe","Suppliers of Pool Tables, Soccer Tables, Tennis Tables and related Spares and Services"
Shanda Hub,shandahub.com,shandahub@gmail.com,077 979 4751,,"A resource centre, collaboration space & idea accelarator for young Zimbabweans. Capacity Building |"
Kaytee printers pvt ltd,,sales@ktprinters.co.zw,077 484 3750,"Stand 2685 Kloeff way Arlington Industrial Park Hatfield , Harare, Zimbabwe","Specialists in print media. Designing, Printing (Receipt Books, Invoice Books, Letterheads, GRV Books, Posters etc) Branding, Signage, Corporate wear"
Company Registration in Zimbabwe,companyregistration247.com,info@companyregistration247.com,071 495 1102,"Suite 40, 2nd Floor GT Bain Centre, 55 King George Road, Avondale, Zimbabwe",We are experts at Company Registration Services in Zimbabwe.
